9.45751 0 0
10.0515 0 nan 0
15.3126 0 nan 0
15.1858 0 nan 0
15.8923 0 nan 0
16.7994 0 nan 0
17.9882 0 nan 0
16.808 0 nan 0
17.5752 0 nan 0
18.9239 0 nan 0
18.6465 0 nan 0
19.5081 0 nan 0
20.0992 0 nan 0
19.1602 0 nan 0
18.5898 0 nan 0
18.7625 0 nan 0
18.4498 0 nan 0
18.5699 0 nan 0
17.9536 0 nan 0
18.1385 0 nan 0
17.6566 0 nan 0
18.0615 0 nan 0
17.8091 0 nan 0
17.5354 0 nan 0
17.6003 0 nan 0
17.9466 0 nan 0
17.9773 0 nan 0
18.0205 0 nan 0
17.8437 0 nan 0
17.6627 0 nan 0
17.6921 0 nan 0
17.8174 0 nan 0
17.9623 0 nan 0
18.0686 0 nan 0
17.7951 0 nan 0
17.589 0 nan 0
17.9749 0 nan 0
18.2004 0 nan 0
18.2311 0 nan 0
17.9511 0 nan 0
18.1126 0 nan 0
18.0579 0 nan 0
18.1867 0 nan 0
18.0407 0 nan 0
18.181 0 nan 0
17.9781 0 nan 0
17.7959 0 nan 0
17.9336 0 nan 0
18.0061 0 nan 0
18.2277 0 nan 0
18.0218 0 nan 0
18.0229 0 nan 0
18.1902 0 nan 0
18.4653 0 nan 0
18.3491 0 nan 0
18.625 0 nan 0
18.8504 0 nan 0
19.079 0 nan 0
19.2352 0 nan 0
19.0292 0 nan 0
18.8768 0 nan 0
18.6973 0 nan 0
18.8031 0 nan 0
18.6528 0 nan 0
18.8815 0 nan 0
18.8471 0 nan 0
18.764 0 nan 0
18.6752 0 nan 0
18.7001 0 nan 0
18.6262 0 nan 0
18.6292 0 nan 0
18.4619 0 nan 0
18.3704 0 nan 0
18.215 0 nan 0
18.0955 0 nan 0
18.1295 0 nan 0
18.0619 0 nan 0
17.9573 0 nan 0
18.122 0 nan 0
18.0178 0 nan 0
17.9487 0 nan 0
18.0816 0 nan 0
18.1817 0 nan 0
18.2418 0 nan 0
18.1618 0 nan 0
18.0712 0 nan 0
18.1423 0 nan 0
18.0271 0 nan 0
18.0114 0 nan 0
17.9746 0 nan 0
18.1457 0 nan 0
18.1128 0 nan 0
18.1076 0 nan 0
17.9909 0 nan 0
18.1095 0 nan 0
18.13 0 nan 0
18.1642 0 nan 0
18.2799 0 nan 0
18.348 0 nan 0
18.4578 0 nan 0
