10010000
2.7095e+07 0 0
2.76175e+07 0 nan 0
2.62949e+07 0 nan 0
2.64784e+07 0 nan 0
2.71687e+07 0 nan 0
2.74379e+07 0 nan 0
2.75359e+07 0 nan 0
2.73573e+07 0 nan 0
2.70249e+07 0 nan 0
2.70254e+07 0 nan 0
2.68963e+07 0 nan 0
2.67478e+07 0 nan 0
2.68938e+07 0 nan 0
2.68671e+07 0 nan 0
2.67203e+07 0 nan 0
2.65114e+07 0 nan 0
2.65779e+07 0 nan 0
2.6504e+07 0 nan 0
2.6549e+07 0 nan 0
2.66378e+07 0 nan 0
2.66714e+07 0 nan 0
2.66247e+07 0 nan 0
2.64486e+07 0 nan 0
2.64973e+07 0 nan 0
2.66471e+07 0 nan 0
2.65788e+07 0 nan 0
2.67578e+07 0 nan 0
2.68995e+07 0 nan 0
2.69024e+07 0 nan 0
2.68586e+07 0 nan 0
2.68621e+07 0 nan 0
2.67877e+07 0 nan 0
2.6688e+07 0 nan 0
2.66286e+07 0 nan 0
2.6566e+07 0 nan 0
2.65988e+07 0 nan 0
2.66668e+07 0 nan 0
2.66412e+07 0 nan 0
2.67125e+07 0 nan 0
2.66874e+07 0 nan 0
2.67122e+07 0 nan 0
2.67214e+07 0 nan 0
2.66857e+07 0 nan 0
2.66172e+07 0 nan 0
2.66967e+07 0 nan 0
2.66625e+07 0 nan 0
2.66093e+07 0 nan 0
2.65038e+07 0 nan 0
2.64853e+07 0 nan 0
2.64888e+07 0 nan 0
2.64394e+07 0 nan 0
2.64489e+07 0 nan 0
2.64405e+07 0 nan 0
2.63794e+07 0 nan 0
2.63985e+07 0 nan 0
2.64059e+07 0 nan 0
2.63949e+07 0 nan 0
2.63939e+07 0 nan 0
2.64111e+07 0 nan 0
2.63914e+07 0 nan 0
2.63509e+07 0 nan 0
2.63208e+07 0 nan 0
2.62914e+07 0 nan 0
2.62693e+07 0 nan 0
2.62322e+07 0 nan 0
2.62322e+07 0 nan 0
2.62135e+07 0 nan 0
2.62589e+07 0 nan 0
2.62369e+07 0 nan 0
2.6273e+07 0 nan 0
2.628e+07 0 nan 0
2.62899e+07 0 nan 0
2.63003e+07 0 nan 0
2.6305e+07 0 nan 0
2.6305e+07 0 nan 0
2.62952e+07 0 nan 0
2.62841e+07 0 nan 0
2.62712e+07 0 nan 0
2.62451e+07 0 nan 0
2.62499e+07 0 nan 0
2.62576e+07 0 nan 0
2.62293e+07 0 nan 0
2.62127e+07 0 nan 0
2.61853e+07 0 nan 0
2.61555e+07 0 nan 0
2.61268e+07 0 nan 0
2.61522e+07 0 nan 0
2.61472e+07 0 nan 0
2.61492e+07 0 nan 0
2.61228e+07 0 nan 0
2.61696e+07 0 nan 0
2.617e+07 0 nan 0
2.61513e+07 0 nan 0
2.61542e+07 0 nan 0
2.6167e+07 0 nan 0
2.62058e+07 0 nan 0
2.61832e+07 0 nan 0
2.61731e+07 0 nan 0
2.61624e+07 0 nan 0
2.61581e+07 0 nan 0
